RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,89,0.206,#43201,#43113
0100→0200,100,200,152,0.558,#43112,#42961
0200→0300,200,300,318,1.294,#42960,#42643
0300→0400,300,400,629,2.750,#42642,#42014
0400→0500,400,500,1234,5.606,#42013,#40780
0500→0600,500,600,2059,10.372,#40779,#38721
0600→0700,600,700,2985,17.282,#38720,#35736
0700→0800,700,800,3820,26.124,#35735,#31916
0800→0900,800,900,4513,36.571,#31915,#27403
0900→1000,900,1000,5505,49.314,#27402,#21898
1000→1100,1000,1100,6030,63.272,#21897,#15868
1100→1200,1100,1200,4515,73.723,#15867,#11353
1200→1300,1200,1300,3243,81.230,#11352,#8110
1300→1400,1300,1400,2348,86.665,#8109,#5762
1400→1500,1400,1500,1761,90.741,#5761,#4001
1500→1600,1500,1600,1314,93.783,#4000,#2687
1600→1700,1600,1700,850,95.750,#2686,#1837
1700→1800,1700,1800,672,97.306,#1836,#1165
1800→1900,1800,1900,391,98.211,#1164,#774
1900→2000,1900,2000,270,98.836,#773,#504
2000→2100,2000,2100,174,99.238,#503,#330
2100→2200,2100,2200,122,99.521,#329,#208
2200→2300,2200,2300,75,99.694,#207,#133
2300→2400,2300,2400,46,99.801,#132,#87
2400→2500,2400,2500,28,99.866,#86,#59
2500→2600,2500,2600,25,99.924,#58,#34
2600→2700,2600,2700,20,99.970,#33,#14
2700→2800,2700,2800,10,99.993,#13,#4
2800→2900,2800,2900,2,99.998,#3,#2
2900→3000,2900,3000,1,100.000,#1,#1
