RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,98,0.226,#43313,#43216
0100→0200,100,200,147,0.566,#43215,#43069
0200→0300,200,300,334,1.337,#43068,#42735
0300→0400,300,400,621,2.771,#42734,#42114
0400→0500,400,500,1282,5.730,#42113,#40832
0500→0600,500,600,2022,10.399,#40831,#38810
0600→0700,600,700,2930,17.163,#38809,#35880
0700→0800,700,800,3772,25.872,#35879,#32108
0800→0900,800,900,4537,36.347,#32107,#27571
0900→1000,900,1000,5440,48.907,#27570,#22131
1000→1100,1000,1100,6019,62.803,#22130,#16112
1100→1200,1100,1200,4508,73.211,#16111,#11604
1200→1300,1200,1300,3354,80.955,#11603,#8250
1300→1400,1300,1400,2347,86.374,#8249,#5903
1400→1500,1400,1500,1723,90.352,#5902,#4180
1500→1600,1500,1600,1380,93.538,#4179,#2800
1600→1700,1600,1700,920,95.662,#2799,#1880
1700→1800,1700,1800,663,97.193,#1879,#1217
1800→1900,1800,1900,417,98.155,#1216,#800
1900→2000,1900,2000,271,98.781,#799,#529
2000→2100,2000,2100,172,99.178,#528,#357
2100→2200,2100,2200,132,99.483,#356,#225
2200→2300,2200,2300,81,99.670,#224,#144
2300→2400,2300,2400,51,99.788,#143,#93
2400→2500,2400,2500,37,99.873,#92,#56
2500→2600,2500,2600,21,99.922,#55,#35
2600→2700,2600,2700,19,99.965,#34,#16
2700→2800,2700,2800,8,99.984,#15,#8
2800→2900,2800,2900,6,99.998,#7,#2
3000→3100,3000,3100,1,100.000,#1,#1
