RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,86,0.199,#43139,#43054
0100→0200,100,200,151,0.549,#43053,#42903
0200→0300,200,300,328,1.310,#42902,#42575
0300→0400,300,400,623,2.754,#42574,#41952
0400→0500,400,500,1247,5.645,#41951,#40705
0500→0600,500,600,2042,10.378,#40704,#38663
0600→0700,600,700,2977,17.279,#38662,#35686
0700→0800,700,800,3808,26.106,#35685,#31878
0800→0900,800,900,4484,36.501,#31877,#27394
0900→1000,900,1000,5488,49.222,#27393,#21906
1000→1100,1000,1100,6027,63.193,#21905,#15879
1100→1200,1100,1200,4503,73.632,#15878,#11376
1200→1300,1200,1300,3243,81.149,#11375,#8133
1300→1400,1300,1400,2366,86.634,#8132,#5767
1400→1500,1400,1500,1750,90.691,#5766,#4017
1500→1600,1500,1600,1326,93.764,#4016,#2691
1600→1700,1600,1700,852,95.739,#2690,#1839
1700→1800,1700,1800,667,97.286,#1838,#1172
1800→1900,1800,1900,396,98.203,#1171,#776
1900→2000,1900,2000,277,98.846,#775,#499
2000→2100,2000,2100,168,99.235,#498,#331
2100→2200,2100,2200,122,99.518,#330,#209
2200→2300,2200,2300,74,99.689,#208,#135
2300→2400,2300,2400,51,99.808,#134,#84
2400→2500,2400,2500,25,99.866,#83,#59
2500→2600,2500,2600,27,99.928,#58,#32
2600→2700,2600,2700,17,99.968,#31,#15
2700→2800,2700,2800,10,99.991,#14,#5
2800→2900,2800,2900,3,99.998,#4,#2
2900→3000,2900,3000,1,100.000,#1,#1
